,is_transfer,commute,minor,is_stem,gpa,club_general,club_professional,club_recreational,club_athletic,club_cultural,club_skilldev,club_other,is_greek,job_status,outings_per_week,relationship_status,longest_relationship_months,num_romantic_involvements,met_partner_ucsd,year_2,year_3,year_4,dept_NaturalSci,dept_Arts/Humanities,dept_SocSci,dept_CogSci,dept_CS/DS,dept_Engineering
0,0,0,0,1,3.69,1,1,0,0,0,0,0,0,1,2.0,0,0.0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,1,1,3.72,1,1,0,0,0,1,0,0,0,1.0,0,24.0,2,0,0,1,0,0,0,0,0,1,0
2,0,0,1,1,3.7,1,1,0,0,0,0,0,0,1,4.0,0,10.0,2,0,1,0,0,0,0,1,0,0,0
3,0,0,0,1,4.0,1,1,1,0,0,0,0,0,0,2.0,0,4.0,1,0,0,0,0,0,0,1,0,0,0
4,0,0,0,1,,1,1,0,1,0,0,0,1,0,2.0,0,8.0,2,0,0,0,0,0,0,0,1,0,0
5,0,1,0,1,3.9,1,0,0,0,0,1,0,0,0,3.0,0,11.0,1,0,0,1,0,0,0,0,0,0,1
6,0,1,1,1,3.86,1,1,0,0,0,0,0,0,1,1.0,1,24.0,1,1,0,1,0,0,0,0,0,1,0
7,0,0,1,1,3.79,1,1,0,0,0,1,0,0,0,3.0,0,6.0,2,0,0,1,0,0,0,0,0,1,0
8,0,1,1,1,3.4,1,1,0,0,0,0,0,0,1,1.0,1,33.0,1,0,0,1,0,0,0,1,0,0,0
9,0,0,1,1,3.625,1,0,0,0,0,0,1,0,0,2.0,0,0.0,0,0,0,1,0,0,0,1,0,0,0
10,0,1,1,1,4.0,1,0,0,1,0,1,0,0,1,3.0,1,22.0,2,1,0,1,0,0,0,0,0,1,0
11,0,0,0,1,4.0,1,1,1,0,0,0,0,0,1,7.0,1,24.0,2,0,0,0,0,0,0,0,1,0,0
12,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,1.0,1,33.0,1,0,0,1,0,0,1,0,0,0,0
13,0,0,1,1,3.9,1,1,1,0,0,0,0,1,1,2.0,0,18.0,10,0,1,0,0,0,0,0,0,1,0
14,0,0,0,0,,1,0,1,0,0,0,1,0,0,2.0,0,25.0,1,0,0,0,0,0,0,1,0,0,0
15,0,0,0,1,3.8,0,0,0,0,0,0,0,0,0,3.0,0,0.0,0,0,0,0,1,1,0,0,0,0,0
16,0,1,1,1,3.8,1,1,1,0,0,1,0,0,1,3.0,0,0.0,0,0,0,1,0,0,0,0,0,1,0
